id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
5054,NZSP,medium_airport,"Amundsen–Scott south Pole Station Airport",-90,0,9300,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Amundsen-Scott South Pole Station",0,NZSP,,,,,https://en.wikipedia.org/wiki/Amundsen-Scott_South_Pole_Station,,250,2025-01-08T14:13:27+00:00
5035,AQ-0013,closed,"McMurdo Station Ice Runway",-77.854391,166.464387,1,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"McMurdo Station",0,,,,,,https://en.wikipedia.org/wiki/Ice_Runway,"NZIR, NZIR",250,2025-02-25T14:38:05+00:00
5048,AQ-0014,closed,"McMurdo Station Pegasus Field",-77.963402,166.524994,18,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"McMurdo Station",0,,,,,,https://en.wikipedia.org/wiki/Pegasus_blue_ice_runway,"NZPG, NZPG",250,2025-02-25T14:38:05+00:00
6039,SCRM,small_airport,"Teniente Rodolfo Marsh Martin Airport",-62.191026,-58.98669,147,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Villa Las Estrellas",1,SCRM,SCRM,TNM,,,https://en.wikipedia.org/wiki/Teniente_R._Marsh_Airport,,125,2021-05-29T07:03:50+00:00
5059,NZWD,medium_airport,"Williams Field Skiway",-77.867401,167.057007,68,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"McMurdo Station",0,NZWD,,,,,https://en.wikipedia.org/wiki/Williams_Field,"Willies Field",250,2024-04-09T13:26:40+00:00
5830,SAWB,small_airport,"Gustavo Marambio Airport",-64.238297,-56.630798,760,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Marambio Base",0,SAWB,,,MBI,,https://en.wikipedia.org/wiki/Marambio_Airport,,50,2024-01-14T11:08:17+00:00
11,NZ12,small_airport,"Palmer Station Airport",-64.774582,-64.035907,149,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Palmer Station",0,NZ0B,,,NZ0B,,https://en.wikipedia.org/wiki/Palmer_Station,,50,2021-02-22T16:17:10+00:00
12,SA47,small_airport,"Petrel Airport",-63.479,-56.2313,15,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Petrel Base",0,,,,PET,,,"SA47, Destacamento Naval",50,2021-02-22T16:19:57+00:00
41561,SAYJ,small_airport,"Jubany Airbase",-62.2383,-58.666599,12,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Carlini Base",0,SAYJ,,,BJY,,,,50,2021-02-22T17:34:00+00:00
348022,YCSK,small_airport,"Casey Station Skiway",-66.288056,110.7575,1178,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Casey Station",0,YCSK,,,,,https://en.wikipedia.org/wiki/Casey_Station,,50,2021-09-29T14:31:08+00:00
39078,SAYE,small_airport,"Esperanza Base",-63.400002,-56.983299,75,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Fortín Sargento Cabral",0,SAYE,,,BET,,https://en.wikipedia.org/wiki/Esperanza_Base,,50,2021-04-08T10:36:19+00:00
307365,EGAH,small_airport,"Halley Research Station",-75.567406,-25.516435,103,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Halley Research Station",0,EGAH,,,,,https://en.wikipedia.org/wiki/Halley_Research_Station,"Halley, Antarctica, British Antarctic Survey",50,2025-01-17T20:13:32+00:00
39079,SAYO,heliport,"Orcadas Base Heliport",-60.738473,-44.735655,75,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Laurie Island",0,SAYO,,,OCD,,https://en.wikipedia.org/wiki/Orcadas_Base,,50,2021-06-02T17:24:15+00:00
39076,SAWZ,small_airport,"Matienzo Airfield",-64.976998,-60.108992,75,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Matienzo Base",0,SAWZ,,,BTM,,,,50,2021-02-22T16:23:37+00:00
32268,SCPZ,small_airport,"Patriot Hills Airport",-80.3142,-81.39478,2900,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Patriot Hills Base Camp",0,SCPZ,,,,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_Patriot_Hills,,50,2024-06-07T18:00:48+00:00
39579,AQ-0001,small_airport,"Novolazarevskaya Station",-70.8461,11.8472,390,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Queen Maud Land",0,AT17,,,,,https://en.wikipedia.org/wiki/Novolazarevskaya_Station,,50,2020-07-31T11:12:47+00:00
